@lat,@lon
50.0400826,36.2899101
49.9938944,36.2113509
50.0089465,36.3350240
50.0104101,36.3350449
50.0021409,36.3360009
50.0068699,36.3170944
50.0003881,36.3111608
49.9120865,36.2084680
50.0403146,36.3646820
50.0296096,36.3476266
49.9609123,36.1057172
49.9621205,36.1320056
49.9652593,36.1320577
49.9648465,36.1275994
49.9640433,36.1290015
49.9641244,36.1307241
49.9629798,36.1305005
49.9627509,36.1290046
49.9617078,36.1275473
49.9634923,36.1298683
49.9348082,36.4332357
49.9343215,36.4348877
49.9331022,36.4341429
49.9337115,36.4324749
49.9347613,36.4365162
49.9360042,36.4322307
49.9335821,36.4334194
49.9339990,36.4336858
50.0029998,36.4119181
50.0191168,36.3254440
49.9958371,36.2506097
50.0010249,36.2364075
49.9765453,36.1736513
49.9826922,36.2439236
49.9734210,36.2946292
49.9586508,36.3561538
49.9904605,36.2635147
49.9596080,36.3537873
49.9728106,36.3004272
49.9724718,36.3001186
49.9655347,36.1437473
49.9837277,36.2380248
50.0159658,36.2423450
49.9989951,36.2467162
49.9851686,36.1920028
49.9904346,36.2247167
50.0069503,36.2262987
50.0200469,36.2154920
50.0377850,36.1977547
49.9764977,36.2913334
49.9626227,36.2977672
50.0131927,36.2410854
50.0092778,36.2329052
49.9555696,36.2786504
49.9530695,36.2800637
49.9540583,36.2691009
50.0203995,36.2401241
49.9895226,36.2343190
49.9901584,36.2360654
49.9940280,36.2322568
50.0147595,36.2421259
50.0396144,36.2474687
49.9960685,36.2408753
49.9860480,36.2444572
49.9837478,36.2386800
49.9701787,36.3067342
49.9528051,36.2989436
49.9531642,36.3015123
49.9518799,36.3013269
49.9889791,36.2343907
49.9714983,36.2599533
49.9904176,36.2289026
50.0276130,36.2225741
50.0016354,36.2707013
49.8859519,36.2907056
49.9940713,36.2067502
49.9830086,36.2134425
49.9710735,36.1912206
49.9803252,36.2020976
49.9874605,36.2277098
50.0091365,36.3248567
49.9652612,36.2873500
49.9688818,36.3083623
49.9905411,36.2539833
49.9977773,36.2374511
49.9949672,36.2359728
50.0018872,36.2398303
50.0139337,36.2493174
49.9872316,36.1830989
49.9907066,36.1918326
49.9780667,36.1689652
49.9851754,36.2448989
49.9902416,36.2095662
49.9915230,36.2302679
49.9905131,36.2252929
49.9805159,36.1898901
49.9778924,36.1930128
49.9717834,36.3084168
49.9904758,36.2466105
49.9761085,36.2598087
50.0049590,36.2444749
49.9878215,36.2535386
49.9889400,36.2560524
50.0116008,36.2453542
50.0173346,36.2339405
49.9765173,36.1250479
49.9750310,36.1219885
49.9461140,36.2769675
49.9354634,36.2888252
49.9894552,36.2261245
49.9936503,36.2290378
49.9780784,36.2262307
50.0077221,36.2587744
49.9842234,36.2375813
49.9822546,36.2308612
49.9903757,36.2257805
49.9690125,36.1868718
49.9863583,36.2343673
49.9862314,36.2384813
