@lat	@lon
50.4575451	30.5179500
50.4683739	30.5242035
50.4116667	30.6459325
50.5128661	30.4938222
50.4891083	30.5073354
50.4858720	30.4980781
50.5038690	30.5059798
50.4530106	30.5204645
50.3973401	30.5722990
50.4243053	30.5686320
50.4628099	30.5175201
50.4739773	30.5117117
50.4731992	30.5068382
50.4726398	30.5093970
50.4716746	30.5116509
50.4673283	30.5078797
50.4660437	30.5150780
50.4543619	30.5152065
50.4502903	30.5185556
50.4509832	30.5208074
50.4546820	30.5193998
50.4627457	30.5068804
50.4666358	30.5083356
50.4533614	30.5254070
50.4432952	30.5245758
50.4395595	30.5198844
50.4298938	30.5117354
50.4302920	30.5349563
50.4359518	30.5451144
50.4297971	30.5417218
50.4258995	30.5200898
50.4206022	30.5284135
50.4155819	30.5452037
50.4201614	30.5503652
50.4195546	30.5532146
50.4447604	30.5390965
50.4679695	30.5059428
50.4581623	30.5186402
50.4492288	30.5067228
50.4563960	30.5052312
50.4500211	30.5138083
50.4510583	30.5166026
50.4569816	30.5072220
50.4571899	30.5167126
50.4534836	30.5185509
50.4471632	30.5284297
50.4477069	30.5258587
50.4471345	30.5342815
50.4456442	30.5371271
50.4405749	30.5056782
50.4397707	30.5055455
50.4343629	30.5052727
50.4319378	30.5173706
50.4288038	30.5212391
50.4370479	30.5262409
50.4422574	30.5339278
50.4405481	30.5365559
50.4410840	30.5317861
50.4428272	30.5335868
50.4355151	30.5321135
50.4890899	30.4979087
50.4721256	30.4474985
50.5656867	30.4714322
50.4042547	30.5241538
50.4017015	30.5487142
50.4245132	30.3669631
50.4438838	30.4393304
50.4144727	30.4554134
50.4223398	30.4578194
50.4264942	30.4620704
50.3658938	30.4517942
50.3703533	30.4585710
50.5885974	30.4477654
50.6083624	30.4554503
50.6105840	30.4496904
50.4965089	30.5895790
50.5058152	30.6032706
50.5096603	30.6092714
50.5217670	30.6193354
50.5167877	30.6168969
50.5281290	30.6201578
50.5247799	30.6199492
50.5083078	30.5988019
50.5119785	30.5954170
50.5124605	30.5950523
50.5010114	30.5981673
50.5140916	30.6213647
50.5173902	30.6232496
50.5204121	30.6307602
50.5227390	30.6240113
50.5229341	30.6240482
50.5249291	30.5997353
50.5233056	30.6143492
50.5211866	30.6140628
50.5100667	30.6082552
50.5099398	30.6033910
50.5081495	30.6248673
50.5109768	30.6175585
50.5146445	30.6095410
50.5184154	30.5999295
50.5170007	30.5984715
50.5290027	30.6047423
50.4965785	30.5751362
50.4613768	30.6300672
50.4606938	30.6312081
50.4606386	30.6304942
50.4610004	30.6287774
50.4603297	30.6289760
50.4882499	30.5264879
50.4695649	30.6222611
50.4947164	30.6075073
50.4946544	30.5906486
50.4961320	30.5903267
50.4961624	30.5883464
50.5047238	30.5992041
50.4946128	30.5886358
50.4918670	30.5854596
50.4921005	30.5861948
50.4931423	30.5854217
50.4858714	30.5979511
50.4884029	30.6044403
50.4718524	30.6067972
50.4642570	30.6090696
50.4640875	30.6089115
50.4626365	30.6144838
50.4624568	30.6300450
50.4716524	30.6315325
50.4699621	30.6235022
50.4711924	30.6269766
50.4726288	30.6304845
50.4727155	30.6308128
50.4735474	30.6354762
50.4737583	30.6299056
50.4782511	30.6177402
50.4243466	30.5707533
50.4002581	30.5596011
50.4022052	30.5516403
50.4021622	30.5491644
50.4136959	30.5240128
50.4695811	30.5236223
50.4617146	30.5259828
50.4512269	30.4669792
50.4537129	30.4705171
50.4493963	30.4816536
50.4491352	30.4833676
50.4427032	30.5207973
50.4490136	30.4820352
50.4478898	30.4824787
50.4489984	30.4830617
50.4521165	30.4807859
50.4513538	30.4839225
50.4472306	30.4939350
50.4511931	30.5018722
50.4553605	30.5018466
50.4450891	30.5062449
50.4553592	30.5063264
50.4550559	30.5199337
50.4566838	30.5139973
50.4546690	30.5066568
50.4550172	30.5058958
50.4595739	30.4986484
50.4521683	30.5278591
50.4427656	30.5215329
50.4361930	30.5238103
50.4262071	30.5224573
50.4338779	30.5057466
50.5148341	30.4913180
50.5179729	30.4899618
50.5225665	30.4998067
50.5125375	30.4938571
50.5061918	30.4892839
50.5114913	30.4929572
50.5034377	30.5063837
50.5220646	30.4983811
50.5234404	30.4993756
50.5271591	30.4985951
50.5171681	30.5104826
50.5116149	30.5058749
50.5010947	30.5134719
50.5175870	30.4889485
50.5065713	30.4839268
50.5077544	30.4840452
50.5066020	30.4826599
50.5078274	30.4826986
50.5083413	30.4824165
50.5109195	30.4838712
50.5057390	30.4825132
50.5111929	30.4985078
50.5133366	30.4985430
50.5024617	30.4982357
50.5003873	30.4982227
50.5018588	30.4973573
50.5018077	30.4991340
50.5013456	30.4989549
50.5060359	30.5087871
50.4960817	30.5184369
50.4961171	30.5171616
50.4968698	30.5073041
50.5005349	30.5032692
50.4880850	30.5043089
50.4883404	30.5037077
50.4894917	30.5018550
50.4917801	30.4985911
50.4887447	30.4961246
50.4925180	30.4970620
50.4912223	30.4970991
50.4874460	30.4794640
50.4620836	30.4476887
50.4627128	30.4481041
50.4625935	30.4454838
50.4616690	30.4804839
50.4774096	30.4955509
50.4614513	30.5194660
50.4626945	30.5183973
50.4627374	30.5242847
50.4626846	30.5211050
50.4620041	30.5203200
50.4613431	30.5252636
50.4638789	30.5203761
50.4712446	30.5025956
50.4792500	30.4871245
50.4887525	30.5248028
50.4892725	30.5232783
50.4896789	30.5272755
50.4879391	30.5278877
50.4877188	30.5259628
50.4879556	30.5290373
50.4896722	30.5248586
50.5118552	30.4527835
50.5147999	30.4525654
50.5120646	30.4544658
50.5176511	30.4520716
50.5185314	30.4433262
50.5138389	30.4450286
50.5040040	30.4547492
50.5032422	30.4532470
50.5048269	30.4647561
50.5036504	30.4645837
