@lat,@lon
49.8269560,23.9829666
49.8252717,23.9893270
49.8345751,23.9908092
49.8367239,24.0109957
49.8398215,24.0294854
49.8413912,24.0278054
49.8399912,24.0182410
49.8335878,23.9796741
49.8417199,24.0230533
49.8347975,24.0073996
49.8379589,24.0232822
49.8363625,24.0178475
49.8376222,24.0211100
49.8392120,24.0225905
49.8396348,24.0293427
49.8444925,24.0259764
49.8430472,24.0345652
49.8449315,24.0372720
49.8435971,24.0390255
49.8466203,24.0358486
49.8408323,24.0292629
49.8395621,24.0338746
49.8426469,24.0302749
49.8427285,24.0327745
49.8434975,24.0291615
49.8095322,23.9786589
49.8305730,24.0321938
49.8754090,24.0629566
49.8756385,24.0638003
49.8767719,24.0634894
49.8773137,24.0631793
49.7690791,24.0143224
49.7671983,24.0170065
49.7698521,24.0131931
49.7708179,24.0120184
49.7697168,24.0154854
49.7684753,24.0131084
49.7675462,24.0117225
49.8193146,23.9055117
49.8957583,24.1398356
49.7846296,23.9753583
49.8432756,24.0227973
49.8534418,23.9867174
49.8721488,23.8967555
49.8727536,23.8967658
49.8719017,23.9009485
49.8392781,24.0297872
49.8390701,24.0355094
49.8731163,23.8930245
49.8726889,23.8953802
49.8750472,23.8900925
49.8732131,23.8910376
49.8725014,23.8923109
49.8699186,23.8989107
49.8413779,24.0192021
49.8426544,24.0202989
49.8430008,24.0237286
49.8424565,24.0221595
49.8417529,24.0213093
49.8403888,24.0214647
49.8397233,24.0232795
49.8222496,23.9208956
49.8353635,24.0163653
49.8177641,24.1521820
49.8348314,24.0071696
49.8392903,24.0565116
49.8423096,24.0583671
49.8424287,24.0592917
49.8770597,24.0628084
49.8745587,24.0624544
49.7852061,24.0593168
49.7946999,24.0567792
49.7964792,24.0533230
49.8271454,23.9678779
49.8120684,23.9848360
49.7871219,24.0222691
49.8017928,24.0180205
49.8007781,24.0304971
49.8392458,24.0305725
49.8387806,24.0308793
49.8082354,24.0415419
49.8111698,24.0243830
49.8441696,24.0257426
49.8651183,24.0523884
49.8500887,24.0250122
49.8578423,24.0211134
49.8694516,24.0179502
49.9068115,23.9625711
49.8488804,24.0285309
49.8510625,24.0259066
49.8451489,24.0201725
49.8504312,24.0263658
49.8432565,24.0167151
49.8458119,24.0149007
49.8483253,24.0050538
49.8673331,24.0157403
49.8620517,24.0182323
49.8547933,24.0144969
49.8320056,23.9962183
49.8115776,24.0219694
49.8123269,24.0186729
49.8103451,24.0007654
49.8116361,24.0002674
49.8266632,24.0101912
49.8072478,23.9984610
49.8073703,23.9993220
49.8047780,24.0067627
49.8076822,24.0534588
49.7706127,24.1038606
49.7979491,24.0626465
49.8068831,24.0639384
49.8083363,24.0614030
49.8160068,24.0619961
49.8072154,24.0615882
49.8066219,24.0611561
49.8061667,24.0622235
49.8066690,24.0614797
49.8200484,24.0197790
49.8262684,24.0098351
49.8261757,24.0105010
49.8325478,23.9775881
49.8338266,23.9776993
49.8123724,23.9840886
49.8104121,24.0001524
49.8104991,23.9993533
49.8103677,23.9886628
49.8059340,24.0133117
49.8656132,24.0442510
49.8351741,23.9770163
49.8676893,23.8986985
49.8732332,23.8923227
49.8759719,23.8873343
49.8732785,23.8898117
49.8726379,23.8988450
49.8730270,23.8980010
49.8743875,23.8889093
49.8754190,23.8891516
49.7946674,23.9305218
49.7808767,23.9674592
49.8321157,23.9042956
49.8332374,23.9034267
49.7956628,24.0700789
49.7930007,24.0656167
49.7892270,24.0589483
49.8011191,24.0427144
49.8308744,24.0293035
49.8346956,24.0320898
49.8344576,24.0327086
49.8388140,24.0323722
49.8362598,24.0331503
49.8353822,24.0320837
49.8341540,24.0336180
49.8377919,24.0305056
49.8357657,24.0331344
49.8360373,24.0288288
49.8171923,24.0445239
49.8287638,23.9906879
49.8347306,24.0272801
49.8360654,24.0312995
49.8359413,24.0304004
49.8384619,24.0305478
49.8371140,24.0250067
49.8354106,24.0116286
49.8311988,24.0212023
49.8270500,24.0106969
49.8299204,24.0316640
49.8260460,24.0191393
49.8177180,24.1583852
49.8101901,23.9844285
49.7706903,24.0169208
49.7682919,24.0155711
49.7738269,24.0142581
49.7691388,24.0134604
49.8021869,23.8863210
49.8124903,23.8970737
49.8119602,23.8997044
49.8132184,23.9134588
49.8142144,23.9163443
49.7939548,23.8700707
49.7885869,23.8726406
49.7906537,23.8773454
49.7892866,23.8771289
49.7903235,23.8777609
49.7888502,23.8767559
49.7858069,23.8662493
49.7918558,23.8711657
49.7596853,23.8787694
49.8495929,24.0405062
49.7989140,24.0451165
49.7960903,24.0409690
49.7963728,24.0496694
49.7974258,24.0465590
49.7953172,24.0451191
49.8307499,24.0342641
49.8261746,24.0396822
49.8309273,24.0375435
49.8311068,24.0397087
